"year","age","gender","race","region","income","union","dem","educ"
"year1980",19,"female","white","NC","lower 1/3","no",1,"HS or less"
"year1980",22,"male","white","NC","upper 1/3","no",0,"HS or less"
"year1980",40,"male","white","W","middle 1/3","no",0,"HS or less"
"year1980",71,"female","black","NC","lower 1/3","yes",1,"HS or less"
"year1980",26,"female","white","NE","middle 1/3","no",1,"College"
"year1980",40,"female","white","W","upper 1/3","no",0,"College"
"year1980",38,"male","white","W","upper 1/3","yes",0,"College"
"year1980",59,"female","white","NE","lower 1/3","no",1,"HS or less"
"year1980",60,"male","black","NE","middle 1/3","yes",1,"HS or less"
"year1980",44,"male","black","NE","lower 1/3","no",0,"HS or less"
"year1980",61,"female","white","NE","middle 1/3","yes",1,"HS or less"
"year1980",81,"female","white","NC","lower 1/3","no",0,"HS or less"
"year1980",23,"male","white","S","upper 1/3","no",0,"HS or less"
"year1980",22,"male","white","W","lower 1/3","no",1,"College"
"year1980",43,"male","white","W","upper 1/3","no",0,"HS or less"
"year1980",28,"female","white","S","lower 1/3","no",0,"HS or less"
"year1980",35,"female","white","W","middle 1/3","no",0,"College"
"year1980",64,"female","white","S","middle 1/3","no",0,"HS or less"
"year1980",21,"female","white","NC","upper 1/3","yes",1,"HS or less"
"year1980",57,"male","white","W","lower 1/3","no",1,"College"
"year1980",57,"male","white","NC","upper 1/3","no",0,"College"
"year1980",23,"female","white","W","middle 1/3","no",0,"College"
"year1980",24,"male","white","S","middle 1/3","no",0,"College"
"year1980",63,"male","white","NC","upper 1/3","no",0,"HS or less"
"year1980",40,"male","white","S","upper 1/3","no",0,"College"
"year1980",38,"male","white","S","upper 1/3","no",0,"College"
"year1980",38,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",33,"female","white","NC","middle 1/3","yes",0,"HS or less"
"year1980",28,"female","white","W","upper 1/3","no",0,"College"
"year1980",40,"male","white","NC","middle 1/3","no",0,"HS or less"
"year1980",46,"female","white","W","lower 1/3","no",1,"College"
"year1980",28,"male","white","W","lower 1/3","no",0,"College"
"year1980",67,"male","white","NC","middle 1/3","no",1,"HS or less"
"year1980",31,"female","white","S","upper 1/3","no",1,"College"
"year1980",33,"female","white","S","middle 1/3","no",1,"HS or less"
"year1980",42,"female","white","S","upper 1/3","yes",0,"HS or less"
"year1980",50,"male","white","NC","upper 1/3","yes",1,"HS or less"
"year1980",77,"male","white","W","lower 1/3","no",1,"HS or less"
"year1980",59,"male","white","W","lower 1/3","no",1,"HS or less"
"year1980",41,"male","white","NE","lower 1/3","no",1,"HS or less"
"year1980",59,"female","white","NC","lower 1/3","yes",1,"HS or less"
"year1980",32,"male","white","NE","upper 1/3","no",1,"College"
"year1980",31,"female","white","W","upper 1/3","yes",1,"College"
"year1980",32,"female","white","W","middle 1/3","no",1,"College"
"year1980",63,"female","white","NE","lower 1/3","no",0,"HS or less"
"year1980",25,"female","black","S","lower 1/3","no",1,"College"
"year1980",34,"female","black","S","middle 1/3","no",1,"HS or less"
"year1980",24,"female","white","W","upper 1/3","no",0,"College"
"year1980",22,"female","white","NC","lower 1/3","no",0,"College"
"year1980",36,"male","white","NE","middle 1/3","yes",0,"College"
"year1980",28,"male","black","NC","middle 1/3","yes",1,"College"
"year1980",38,"female","white","S","upper 1/3","no",1,"HS or less"
"year1980",33,"female","white","S","lower 1/3","no",0,"HS or less"
"year1980",20,"female","white","NE","lower 1/3","no",0,"HS or less"
"year1980",59,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",51,"female","white","NE","upper 1/3","yes",0,"HS or less"
"year1980",34,"male","white","S","upper 1/3","no",0,"College"
"year1980",47,"female","black","NC","upper 1/3","yes",1,"HS or less"
"year1980",52,"male","white","NC","upper 1/3","yes",1,"College"
"year1980",54,"female","white","W","upper 1/3","no",0,"HS or less"
"year1980",50,"female","white","NC","lower 1/3","no",0,"HS or less"
"year1980",23,"female","white","S","middle 1/3","no",1,"HS or less"
"year1980",48,"female","black","S","lower 1/3","no",0,"HS or less"
"year1980",59,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",67,"female","white","S","middle 1/3","no",0,"HS or less"
"year1980",46,"female","white","S","middle 1/3","no",1,"HS or less"
"year1980",52,"male","white","NE","middle 1/3","no",0,"College"
"year1980",28,"male","white","S","middle 1/3","no",0,"College"
"year1980",38,"female","white","W","upper 1/3","no",0,"HS or less"
"year1980",49,"male","white","NC","upper 1/3","no",0,"College"
"year1980",42,"male","white","NE","middle 1/3","yes",0,"HS or less"
"year1980",54,"male","white","S","middle 1/3","no",1,"HS or less"
"year1980",31,"female","black","S","lower 1/3","no",0,"HS or less"
"year1980",23,"male","white","NC","upper 1/3","no",0,"College"
"year1980",34,"male","black","S","lower 1/3","no",1,"College"
"year1980",71,"male","white","NE","lower 1/3","no",1,"HS or less"
"year1980",24,"female","white","NE","lower 1/3","no",1,"College"
"year1980",41,"male","white","NC","upper 1/3","no",0,"College"
"year1980",22,"female","white","S","lower 1/3","no",0,"HS or less"
"year1980",32,"male","white","NC","middle 1/3","no",0,"HS or less"
"year1980",39,"female","white","NE","middle 1/3","yes",0,"College"
"year1980",40,"male","white","NC","middle 1/3","no",0,"HS or less"
"year1980",30,"male","white","NC","upper 1/3","no",0,"HS or less"
"year1980",64,"male","white","NC","lower 1/3","yes",1,"HS or less"
"year1980",23,"female","other","S","lower 1/3","no",1,"College"
"year1980",82,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",24,"female","white","W","lower 1/3","no",1,"College"
"year1980",41,"female","white","W","upper 1/3","no",1,"College"
"year1980",65,"female","white","W","middle 1/3","no",0,"College"
"year1980",75,"male","white","NE","lower 1/3","yes",1,"HS or less"
"year1980",32,"female","white","S","lower 1/3","no",0,"HS or less"
"year1980",54,"female","white","NC","upper 1/3","yes",0,"HS or less"
"year1980",18,"male","white","NC","upper 1/3","no",0,"HS or less"
"year1980",32,"female","white","NE","upper 1/3","no",0,"HS or less"
"year1980",70,"female","white","S","lower 1/3","no",0,"HS or less"
"year1980",45,"female","white","NC","middle 1/3","yes",0,"HS or less"
"year1980",76,"female","black","S","lower 1/3","no",0,"HS or less"
"year1980",37,"male","white","S","upper 1/3","no",0,"College"
"year1980",57,"female","white","NE","lower 1/3","no",1,"HS or less"
"year1980",64,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",67,"male","white","S","upper 1/3","no",0,"College"
"year1980",80,"male","white","S","lower 1/3","no",0,"HS or less"
"year1980",59,"female","white","S","middle 1/3","no",0,"College"
"year1980",22,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",69,"male","white","W","middle 1/3","no",1,"HS or less"
"year1980",34,"male","white","W","upper 1/3","yes",1,"College"
"year1980",35,"female","white","NE","lower 1/3","no",1,"College"
"year1980",40,"female","white","S","upper 1/3","no",0,"College"
"year1980",71,"female","white","W","lower 1/3","no",1,"HS or less"
"year1980",27,"male","white","S","middle 1/3","yes",0,"College"
"year1980",46,"female","white","NC","upper 1/3","no",0,"HS or less"
"year1980",44,"male","white","NC","upper 1/3","no",0,"College"
"year1980",36,"male","white","S","middle 1/3","yes",1,"HS or less"
"year1980",53,"male","white","S","upper 1/3","no",1,"College"
"year1980",58,"male","white","NC","middle 1/3","yes",1,"HS or less"
"year1980",32,"male","white","W","middle 1/3","yes",1,"College"
"year1980",35,"male","white","NC","upper 1/3","no",0,"College"
"year1980",71,"male","white","W","upper 1/3","yes",0,"College"
"year1980",24,"male","white","S","middle 1/3","no",0,"HS or less"
"year1980",31,"female","white","S","upper 1/3","no",0,"College"
"year1980",54,"female","white","W","middle 1/3","no",1,"HS or less"
"year1980",27,"male","black","S","lower 1/3","no",1,"HS or less"
"year1980",42,"male","black","S","middle 1/3","no",1,"HS or less"
"year1980",41,"male","white","S","middle 1/3","yes",1,"HS or less"
"year1980",21,"male","white","S","lower 1/3","no",1,"HS or less"
"year1980",76,"female","white","S","upper 1/3","no",0,"College"
"year1980",29,"male","white","S","upper 1/3","no",1,"College"
"year1980",72,"female","white","S","lower 1/3","yes",1,"HS or less"
"year1980",70,"male","white","S","lower 1/3","yes",0,"HS or less"
"year1980",71,"female","white","NC","middle 1/3","no",1,"HS or less"
"year1980",36,"female","white","W","middle 1/3","no",0,"HS or less"
"year1980",57,"male","white","S","lower 1/3","no",0,"HS or less"
"year1980",58,"female","white","NE","middle 1/3","no",0,"HS or less"
"year1980",30,"male","white","S","middle 1/3","no",0,"College"
"year1980",22,"female","white","NE","middle 1/3","no",1,"HS or less"
"year1980",39,"male","white","NE","upper 1/3","yes",0,"College"
"year1980",22,"female","white","NC","lower 1/3","no",0,"HS or less"
"year1980",46,"female","white","W","lower 1/3","no",0,"HS or less"
"year1980",77,"female","white","NE","lower 1/3","yes",1,"HS or less"
"year1980",62,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",71,"male","white","NE","upper 1/3","no",1,"College"
"year1980",41,"female","white","NC","upper 1/3","no",1,"HS or less"
"year1980",38,"female","white","NE","upper 1/3","no",0,"HS or less"
"year1980",28,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",35,"male","white","S","middle 1/3","yes",1,"HS or less"
"year1980",69,"male","white","S","lower 1/3","no",0,"HS or less"
"year1980",61,"male","black","NE","lower 1/3","no",1,"College"
"year1980",48,"male","white","S","upper 1/3","yes",1,"College"
"year1980",66,"male","white","S","upper 1/3","no",1,"College"
"year1980",24,"male","black","NE","lower 1/3","no",1,"HS or less"
"year1980",57,"female","white","S","lower 1/3","no",0,"HS or less"
"year1980",30,"female","white","NE","middle 1/3","yes",1,"HS or less"
"year1980",33,"female","white","NC","middle 1/3","no",1,"HS or less"
"year1980",64,"female","white","NC","middle 1/3","no",0,"College"
"year1980",61,"male","white","NE","middle 1/3","yes",0,"College"
"year1980",72,"female","white","S","lower 1/3","no",1,"College"
"year1980",70,"male","white","S","middle 1/3","no",1,"College"
"year1980",22,"male","white","NC","middle 1/3","no",0,"College"
"year1980",50,"female","white","W","middle 1/3","yes",1,"College"
"year1980",68,"female","white","NC","lower 1/3","no",1,"HS or less"
"year1980",34,"female","black","NC","lower 1/3","yes",0,"HS or less"
"year1980",69,"female","white","NE","middle 1/3","no",0,"HS or less"
"year1980",52,"male","white","NE","upper 1/3","no",0,"College"
"year1980",57,"male","white","S","upper 1/3","no",0,"College"
"year1980",33,"female","white","NE","upper 1/3","no",0,"College"
"year1980",22,"male","white","NC","upper 1/3","yes",0,"HS or less"
"year1980",48,"male","black","NC","upper 1/3","yes",0,"HS or less"
"year1980",43,"female","black","NE","upper 1/3","no",1,"College"
"year1980",48,"female","white","W","upper 1/3","yes",0,"College"
"year1980",20,"female","white","NC","lower 1/3","no",0,"HS or less"
"year1980",40,"male","white","W","middle 1/3","no",0,"College"
"year1980",42,"male","white","W","middle 1/3","no",0,"HS or less"
"year1980",68,"male","white","NE","upper 1/3","no",0,"College"
"year1980",30,"male","other","S","lower 1/3","no",1,"HS or less"
"year1980",70,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",68,"male","white","S","middle 1/3","no",0,"College"
"year1980",20,"male","other","W","lower 1/3","no",0,"College"
"year1980",53,"female","white","W","upper 1/3","no",1,"College"
"year1980",50,"female","white","W","middle 1/3","yes",0,"HS or less"
"year1980",29,"female","white","S","upper 1/3","no",0,"College"
"year1980",27,"female","white","W","lower 1/3","no",0,"HS or less"
"year1980",64,"male","white","S","upper 1/3","no",1,"College"
"year1980",64,"female","white","NE","lower 1/3","no",0,"HS or less"
"year1980",21,"female","white","NC","lower 1/3","no",1,"College"
"year1980",45,"female","white","NE","middle 1/3","no",1,"College"
"year1980",62,"female","white","S","upper 1/3","no",0,"College"
"year1980",38,"male","other","W","upper 1/3","no",1,"HS or less"
"year1980",31,"male","black","NC","lower 1/3","yes",1,"College"
"year1980",58,"female","white","NE","upper 1/3","yes",1,"HS or less"
"year1980",22,"male","white","S","middle 1/3","no",0,"College"
"year1980",22,"male","other","S","lower 1/3","no",1,"College"
"year1980",52,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",23,"female","white","S","upper 1/3","no",1,"College"
"year1980",62,"female","white","NC","upper 1/3","no",1,"College"
"year1980",58,"male","white","NC","middle 1/3","yes",1,"HS or less"
"year1980",33,"female","white","W","middle 1/3","yes",1,"HS or less"
"year1980",41,"male","white","S","upper 1/3","no",1,"College"
"year1980",28,"male","white","NC","upper 1/3","yes",0,"College"
"year1980",53,"female","white","NC","upper 1/3","yes",0,"HS or less"
"year1980",37,"male","white","NE","middle 1/3","yes",0,"HS or less"
"year1980",25,"female","black","NC","upper 1/3","yes",1,"College"
"year1980",36,"female","white","NE","upper 1/3","yes",1,"HS or less"
"year1980",45,"male","white","NC","middle 1/3","yes",1,"HS or less"
"year1980",74,"female","white","S","lower 1/3","yes",1,"HS or less"
"year1980",23,"female","other","NC","lower 1/3","no",0,"HS or less"
"year1980",65,"female","white","NC","lower 1/3","no",0,"HS or less"
"year1980",29,"female","white","S","middle 1/3","no",1,"College"
"year1980",35,"male","white","S","middle 1/3","no",1,"College"
"year1980",60,"female","white","S","middle 1/3","no",0,"College"
"year1980",52,"female","white","NC","lower 1/3","no",0,"HS or less"
"year1980",52,"female","white","NC","middle 1/3","yes",1,"HS or less"
"year1980",54,"female","white","NC","middle 1/3","yes",1,"College"
"year1980",18,"male","white","S","upper 1/3","no",1,"HS or less"
"year1980",48,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",36,"female","white","S","middle 1/3","no",1,"HS or less"
"year1980",38,"female","white","S","lower 1/3","no",0,"HS or less"
"year1980",65,"female","white","NC","upper 1/3","no",0,"HS or less"
"year1980",34,"male","white","S","middle 1/3","yes",1,"HS or less"
"year1980",24,"female","white","NE","lower 1/3","no",0,"HS or less"
"year1980",49,"female","other","S","lower 1/3","no",1,"HS or less"
"year1980",69,"male","white","W","upper 1/3","yes",1,"College"
"year1980",44,"female","white","W","middle 1/3","yes",1,"College"
"year1980",29,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",26,"female","white","NC","middle 1/3","no",0,"College"
"year1980",35,"female","white","NC","upper 1/3","no",0,"HS or less"
"year1980",41,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",32,"female","white","NE","middle 1/3","no",1,"HS or less"
"year1980",86,"male","white","NC","lower 1/3","no",0,"HS or less"
"year1980",34,"female","white","NC","middle 1/3","no",1,"College"
"year1980",31,"female","white","NC","upper 1/3","no",1,"College"
"year1980",41,"female","white","NE","upper 1/3","yes",0,"HS or less"
"year1980",81,"male","white","NC","lower 1/3","no",0,"HS or less"
"year1980",41,"male","white","NE","middle 1/3","no",0,"HS or less"
"year1980",32,"female","white","NE","lower 1/3","no",0,"HS or less"
"year1980",57,"female","white","NC","middle 1/3","no",1,"HS or less"
"year1980",76,"female","white","NE","lower 1/3","no",0,"College"
"year1980",28,"male","white","NE","lower 1/3","yes",1,"HS or less"
"year1980",57,"female","white","W","upper 1/3","no",1,"HS or less"
"year1980",23,"male","white","NC","middle 1/3","no",0,"HS or less"
"year1980",33,"female","white","S","middle 1/3","no",1,"College"
"year1980",24,"male","white","NE","middle 1/3","no",1,"College"
"year1980",20,"female","white","NE","upper 1/3","no",0,"College"
"year1980",22,"male","white","S","lower 1/3","no",0,"College"
"year1980",67,"female","black","S","lower 1/3","no",0,"HS or less"
"year1980",35,"male","white","S","upper 1/3","yes",1,"HS or less"
"year1980",50,"male","white","NE","middle 1/3","yes",1,"HS or less"
"year1980",28,"male","white","S","lower 1/3","no",1,"HS or less"
"year1980",60,"male","white","S","upper 1/3","no",1,"HS or less"
"year1980",73,"female","white","NE","lower 1/3","no",0,"HS or less"
"year1980",80,"female","white","W","lower 1/3","no",0,"HS or less"
"year1980",29,"female","white","S","middle 1/3","no",0,"College"
"year1980",56,"male","white","NE","middle 1/3","no",0,"College"
"year1980",26,"male","white","W","upper 1/3","yes",0,"College"
"year1980",25,"male","white","W","upper 1/3","no",0,"College"
"year1980",71,"female","white","S","middle 1/3","no",1,"College"
"year1980",26,"male","white","NC","middle 1/3","yes",0,"HS or less"
"year1980",24,"male","white","NC","middle 1/3","no",0,"College"
"year1980",21,"male","white","W","lower 1/3","no",1,"College"
"year1980",65,"female","white","W","upper 1/3","no",1,"HS or less"
"year1980",26,"female","white","NE","lower 1/3","yes",1,"College"
"year1980",67,"female","white","NE","lower 1/3","no",0,"HS or less"
"year1980",57,"female","white","NC","upper 1/3","yes",1,"HS or less"
"year1980",28,"female","white","W","upper 1/3","yes",1,"College"
"year1980",62,"male","white","NC","middle 1/3","no",1,"HS or less"
"year1980",27,"male","white","S","lower 1/3","no",1,"College"
"year1980",67,"male","white","NC","middle 1/3","no",1,"College"
"year1980",50,"female","white","NE","middle 1/3","no",1,"College"
"year1980",66,"female","white","NE","middle 1/3","no",0,"College"
"year1980",68,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",41,"female","white","NE","upper 1/3","no",0,"College"
"year1980",32,"female","white","NE","upper 1/3","no",1,"College"
"year1980",23,"male","black","NE","middle 1/3","no",0,"College"
"year1980",58,"female","white","NE","middle 1/3","no",0,"HS or less"
"year1980",73,"female","white","NE","lower 1/3","no",0,"HS or less"
"year1980",37,"male","white","S","upper 1/3","no",1,"HS or less"
"year1980",44,"female","other","S","upper 1/3","no",0,"College"
"year1980",57,"female","white","S","middle 1/3","no",0,"College"
"year1980",39,"female","white","NC","upper 1/3","no",0,"College"
"year1980",35,"male","white","S","upper 1/3","yes",0,"College"
"year1980",21,"male","white","W","middle 1/3","yes",1,"HS or less"
"year1980",72,"female","white","S","middle 1/3","no",1,"College"
"year1980",29,"female","white","NE","upper 1/3","no",0,"College"
"year1980",37,"male","white","S","upper 1/3","no",0,"College"
"year1980",66,"male","white","W","middle 1/3","no",1,"College"
"year1980",67,"female","white","NE","lower 1/3","no",1,"HS or less"
"year1980",43,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",31,"female","white","W","upper 1/3","no",1,"HS or less"
"year1980",65,"male","other","NC","upper 1/3","no",0,"HS or less"
"year1980",33,"male","white","W","middle 1/3","no",1,"HS or less"
"year1980",26,"female","white","W","lower 1/3","no",0,"College"
"year1980",63,"male","black","W","lower 1/3","yes",1,"HS or less"
"year1980",50,"male","white","W","upper 1/3","yes",0,"HS or less"
"year1980",24,"female","black","S","upper 1/3","yes",1,"HS or less"
"year1980",63,"female","other","S","lower 1/3","no",1,"HS or less"
"year1980",75,"female","white","NC","middle 1/3","no",1,"HS or less"
"year1980",23,"female","black","NC","lower 1/3","no",1,"HS or less"
"year1980",22,"female","black","NC","lower 1/3","no",0,"HS or less"
"year1980",58,"male","black","S","upper 1/3","yes",1,"HS or less"
"year1980",35,"male","white","S","middle 1/3","no",1,"HS or less"
"year1980",41,"female","white","S","middle 1/3","no",1,"HS or less"
"year1980",25,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",37,"male","black","W","lower 1/3","no",1,"College"
"year1980",34,"female","white","NC","upper 1/3","yes",0,"College"
"year1980",23,"male","white","NE","upper 1/3","no",0,"College"
"year1980",49,"female","white","NE","middle 1/3","no",1,"College"
"year1980",21,"female","white","NC","middle 1/3","no",1,"College"
"year1980",26,"female","white","NE","middle 1/3","no",1,"College"
"year1980",57,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",21,"male","white","W","upper 1/3","no",1,"College"
"year1980",19,"male","black","S","lower 1/3","no",1,"HS or less"
"year1980",19,"female","white","S","middle 1/3","no",0,"HS or less"
"year1980",58,"male","white","S","middle 1/3","no",1,"College"
"year1980",77,"female","white","NE","upper 1/3","no",1,"College"
"year1980",56,"male","white","NE","upper 1/3","yes",0,"HS or less"
"year1980",49,"male","black","NC","middle 1/3","no",0,"HS or less"
"year1980",34,"male","black","NC","upper 1/3","yes",1,"College"
"year1980",32,"female","white","NC","upper 1/3","yes",0,"HS or less"
"year1980",72,"female","white","W","upper 1/3","no",0,"College"
"year1980",60,"male","white","NE","upper 1/3","yes",0,"HS or less"
"year1980",51,"male","white","S","upper 1/3","no",0,"College"
"year1980",40,"female","black","NE","lower 1/3","no",0,"HS or less"
"year1980",42,"male","black","S","middle 1/3","no",1,"HS or less"
"year1980",84,"male","white","NC","middle 1/3","no",0,"HS or less"
"year1980",59,"female","white","NE","upper 1/3","yes",1,"HS or less"
"year1980",34,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",26,"male","white","NC","middle 1/3","no",0,"HS or less"
"year1980",79,"male","white","NC","lower 1/3","no",1,"HS or less"
"year1980",53,"male","white","W","upper 1/3","no",0,"College"
"year1980",65,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",39,"female","white","NE","upper 1/3","yes",1,"College"
"year1980",57,"male","white","NE","upper 1/3","no",1,"College"
"year1980",31,"female","white","S","upper 1/3","no",1,"College"
"year1980",38,"male","white","NC","upper 1/3","no",0,"College"
"year1980",65,"female","white","NC","middle 1/3","yes",1,"HS or less"
"year1980",62,"female","white","NC","middle 1/3","yes",1,"HS or less"
"year1980",53,"male","black","S","lower 1/3","no",1,"HS or less"
"year1980",61,"male","other","NC","lower 1/3","no",1,"HS or less"
"year1980",71,"female","white","NC","lower 1/3","no",1,"HS or less"
"year1980",39,"male","white","NC","upper 1/3","no",0,"College"
"year1980",29,"male","white","NC","middle 1/3","no",0,"College"
"year1980",30,"female","white","NC","upper 1/3","no",1,"College"
"year1980",57,"male","white","S","upper 1/3","no",0,"College"
"year1980",53,"female","white","NE","middle 1/3","no",0,"College"
"year1980",42,"female","white","NC","upper 1/3","yes",0,"HS or less"
"year1980",23,"male","white","NC","lower 1/3","no",1,"HS or less"
"year1980",43,"female","black","NE","lower 1/3","no",1,"HS or less"
"year1980",56,"female","black","NE","lower 1/3","yes",1,"HS or less"
"year1980",66,"male","black","NE","lower 1/3","no",1,"HS or less"
"year1980",54,"male","white","NE","middle 1/3","yes",0,"HS or less"
"year1980",25,"male","white","NC","lower 1/3","no",0,"College"
"year1980",52,"male","black","NE","middle 1/3","yes",1,"HS or less"
"year1980",82,"male","white","S","upper 1/3","no",1,"College"
"year1980",29,"male","white","S","upper 1/3","no",1,"College"
"year1980",44,"male","white","S","middle 1/3","no",1,"College"
"year1980",72,"male","white","S","lower 1/3","no",0,"HS or less"
"year1980",61,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",34,"male","white","S","middle 1/3","no",1,"College"
"year1980",26,"female","white","W","middle 1/3","no",1,"HS or less"
"year1980",50,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",25,"male","white","S","middle 1/3","no",1,"College"
"year1980",40,"male","white","NC","middle 1/3","yes",1,"HS or less"
"year1980",29,"female","white","S","middle 1/3","no",1,"College"
"year1980",62,"female","white","W","middle 1/3","no",1,"HS or less"
"year1980",82,"female","white","W","middle 1/3","no",1,"College"
"year1980",23,"male","white","NE","lower 1/3","yes",1,"College"
"year1980",23,"female","white","W","upper 1/3","no",0,"College"
"year1980",82,"male","white","S","lower 1/3","no",1,"HS or less"
"year1980",71,"male","white","S","lower 1/3","no",1,"HS or less"
"year1980",26,"male","white","W","middle 1/3","no",0,"College"
"year1980",78,"female","white","S","lower 1/3","no",1,"College"
"year1980",50,"female","white","W","upper 1/3","no",0,"College"
"year1980",36,"male","white","W","middle 1/3","no",0,"HS or less"
"year1980",23,"male","white","NC","lower 1/3","no",1,"College"
"year1980",37,"male","other","S","middle 1/3","no",1,"HS or less"
"year1980",48,"female","white","S","middle 1/3","no",1,"HS or less"
"year1980",39,"male","other","S","upper 1/3","no",0,"College"
"year1980",51,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",62,"male","white","S","lower 1/3","no",1,"HS or less"
"year1980",67,"female","white","W","lower 1/3","no",0,"HS or less"
"year1980",43,"female","white","S","upper 1/3","yes",1,"HS or less"
"year1980",59,"male","white","W","lower 1/3","no",0,"HS or less"
"year1980",29,"female","white","S","upper 1/3","yes",1,"College"
"year1980",35,"male","black","S","upper 1/3","yes",1,"College"
"year1980",61,"female","white","S","upper 1/3","no",0,"College"
"year1980",78,"female","white","S","lower 1/3","no",0,"HS or less"
"year1980",67,"female","white","S","upper 1/3","no",1,"College"
"year1980",26,"male","white","NE","lower 1/3","no",1,"College"
"year1980",58,"female","white","S","upper 1/3","no",0,"HS or less"
"year1980",49,"female","white","NE","upper 1/3","yes",1,"HS or less"
"year1980",30,"female","white","NE","middle 1/3","no",1,"College"
"year1980",20,"male","other","S","lower 1/3","no",0,"HS or less"
"year1980",58,"male","white","S","middle 1/3","no",1,"HS or less"
"year1980",38,"female","white","NC","lower 1/3","no",1,"HS or less"
"year1980",85,"male","white","S","lower 1/3","yes",0,"HS or less"
"year1980",74,"female","white","NE","lower 1/3","no",1,"HS or less"
"year1980",71,"male","black","S","lower 1/3","no",1,"HS or less"
"year1980",34,"male","other","NC","upper 1/3","yes",1,"College"
"year1980",26,"male","white","S","middle 1/3","yes",1,"College"
"year1980",44,"female","white","S","upper 1/3","no",0,"College"
"year1980",35,"male","white","NE","upper 1/3","yes",0,"College"
"year1980",41,"female","white","NC","upper 1/3","yes",1,"College"
"year1980",64,"female","white","NC","middle 1/3","no",1,"HS or less"
"year1980",32,"female","white","S","middle 1/3","yes",0,"College"
"year1980",32,"male","white","W","middle 1/3","yes",0,"College"
"year1980",45,"female","white","S","upper 1/3","no",0,"HS or less"
"year1980",23,"female","white","NC","middle 1/3","no",0,"HS or less"
"year1980",37,"female","white","NC","upper 1/3","yes",1,"HS or less"
"year1980",26,"female","white","W","upper 1/3","yes",1,"College"
"year1980",63,"female","other","S","lower 1/3","no",0,"College"
"year1980",21,"male","white","NC","middle 1/3","no",0,"HS or less"
"year1980",33,"female","white","NC","middle 1/3","no",0,"HS or less"
"year1980",38,"male","white","NC","upper 1/3","no",1,"HS or less"
"year1980",28,"male","white","NE","middle 1/3","no",0,"College"
"year1980",37,"female","white","NC","upper 1/3","yes",1,"HS or less"
"year1980",40,"female","other","S","upper 1/3","no",0,"HS or less"
"year1980",57,"male","white","NC","middle 1/3","no",1,"HS or less"
"year1980",26,"male","white","NE","middle 1/3","no",0,"College"
"year1980",70,"female","white","NE","middle 1/3","no",0,"College"
"year1980",31,"female","white","NC","middle 1/3","no",1,"College"
"year1980",48,"male","white","NE","middle 1/3","no",0,"HS or less"
"year1980",40,"female","white","NE","upper 1/3","yes",1,"College"
"year1980",68,"female","white","NC","lower 1/3","no",0,"HS or less"
"year1980",58,"female","white","NC","middle 1/3","no",1,"HS or less"
"year1980",76,"female","white","NE","lower 1/3","no",1,"HS or less"
"year1980",55,"male","white","NE","middle 1/3","no",1,"HS or less"
"year1980",25,"male","white","NC","middle 1/3","yes",1,"HS or less"
"year1980",90,"male","white","NC","lower 1/3","no",1,"HS or less"
"year1980",57,"male","white","NE","upper 1/3","no",1,"HS or less"
"year1980",25,"female","black","NE","upper 1/3","yes",1,"HS or less"
"year1980",30,"female","white","S","middle 1/3","no",1,"College"
"year1980",20,"male","black","S","lower 1/3","no",1,"HS or less"
"year1980",35,"male","other","W","middle 1/3","yes",1,"HS or less"
"year1980",46,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",57,"male","white","W","upper 1/3","yes",1,"HS or less"
"year1980",38,"male","white","S","middle 1/3","yes",0,"College"
"year1980",34,"male","white","W","middle 1/3","no",0,"College"
"year1980",69,"female","black","S","middle 1/3","no",1,"HS or less"
"year1980",37,"female","white","NE","middle 1/3","no",1,"HS or less"
"year1980",38,"male","white","NC","middle 1/3","yes",1,"College"
"year1980",57,"female","white","NE","middle 1/3","no",1,"HS or less"
"year1980",28,"male","white","NC","upper 1/3","yes",0,"College"
"year1980",31,"male","white","NE","upper 1/3","no",0,"College"
"year1980",19,"male","white","S","lower 1/3","no",0,"HS or less"
"year1980",18,"female","black","NE","upper 1/3","no",1,"HS or less"
